"","YEAR","ID","RACE","SEX","AGE","SIBS","RES16","FAMILY16","BORN","PARBORN","REALRINC","INCOM16","PAEDUC","MAEDUC","PAPRES105PLUS","MAPRES105PLUS","REALINC","HOMPOP","FINRELA","PRESTG105PLUS","EDUC","RES161","COMTYPE","HPARPRES","HPAREDU","FEMALE","BOTHPAR","WHITE","RES16MID","FIPP","lnREALRINC","lnFIPP","RESNOWBIG"
"188",1988,1183,1,1,42,10,1,1,1,0,43426,2,8,8,39,-1,43426,3,3,53,12,NA,NA,39,8,FALSE,1,1,0,14475.3333333333,10.6788136190537,9.58020133038561,NA
"189",2012,1587,1,2,61,3,2,1,1,0,15925,2,8,10,58,-1,18375,1,3,94,20,NA,NA,58,10,TRUE,1,1,0,18375,9.67564548044036,9.81874632408104,NA
"190",1996,2369,1,1,47,3,2,5,1,0,NA,NA,-1,14,-1,16,363,4,2,6,10,1,NA,16,14,FALSE,0,1,0,90.75,NA,4.50810847314496,NA
"191",2018,646,1,2,55,8,2,1,2,8,54480,1,-1,0,58,-1,54480,1,4,88,18,NA,NA,58,0,TRUE,1,1,0,54480,10.9055889408234,10.9055889408234,NA
"192",2004,1833,1,1,20,5,2,1,1,0,6792.75,2,20,12,58,42,11321.25,2,NA,5,13,NA,NA,58,20,FALSE,1,1,0,5660.625,8.82361114592317,8.64128958912921,NA
"193",2000,1730,3,1,38,9,5,5,1,0,29925,NA,-1,16,-1,42,29925,1,3,58,16,NA,3,42,16,FALSE,0,0,1,29925,10.3064495304262,10.3064495304262,0
"194",2002,1981,1,2,63,3,3,5,1,0,17206.75,3,-1,12,-1,47,42234.75,2,NA,54,12,NA,NA,47,12,TRUE,0,1,0,21117.375,9.75305702767684,9.95785144032286,NA
"195",1986,1143,1,1,50,1,2,1,1,0,NA,2,8,8,18,-1,102084,2,1,58,12,NA,NA,18,8,FALSE,1,1,0,51042,NA,10.8404041022039,NA
"196",1990,295,1,2,36,2,5,1,1,0,24395,3,14,11,90,-1,99988,2,3,80,14,NA,NA,90,14,TRUE,1,1,1,49994,10.1021334722499,10.8196582772097,NA
"197",1976,104,1,2,33,2,4,1,NA,NA,NA,3,6,10,29,-1,4074,4,2,NA,9,NA,NA,29,10,TRUE,1,1,1,1018.5,NA,6.92608623566686,NA
"198",2012,1485,1,2,45,3,2,1,1,0,7962.5,3,12,12,27,27,7962.5,1,2,18,16,NA,NA,27,12,TRUE,1,1,0,7962.5,8.98249829988042,8.98249829988042,NA
"199",2016,2492,1,1,81,5,6,1,1,0,NA,2,7,8,26,16,5265,1,2,35,10,NA,NA,26,8,FALSE,1,1,1,5265,NA,8.56883642456808,NA
"200",2004,1972,3,2,40,0,3,5,1,0,3924.7,3,-1,9,-1,28,9811.75,1,NA,85,14,NA,NA,28,9,TRUE,0,0,0,9811.75,8.27504519417433,9.19133592604848,NA
"201",1973,1374,1,2,70,8,2,1,NA,NA,NA,3,8,8,58,-1,14415,2,3,21,8,NA,NA,58,8,TRUE,1,1,0,7207.5,NA,8.88287742951256,NA
"202",2012,1443,1,1,89,9,3,1,1,8,NA,3,6,6,35,-1,6737.5,1,1,15,8,NA,NA,35,6,FALSE,1,1,0,6737.5,NA,8.81544421521725,NA
"203",2018,191,3,1,53,4,5,1,1,2,54480,3,12,12,25,28,54480,2,4,59,12,NA,NA,28,12,FALSE,1,0,1,27240,10.9055889408234,10.2124417602634,NA
"204",1989,21,1,2,50,1,6,1,2,8,15075,1,18,14,82,-1,15075,1,2,26,18,NA,NA,82,18,TRUE,1,1,1,15075,9.62079302159539,9.62079302159539,NA
"205",2014,1650,1,2,72,1,5,1,1,0,NA,3,16,14,91,-1,47300,1,4,56,16,NA,NA,91,16,TRUE,1,1,1,47300,NA,10.76426557448,NA
"206",1994,92,1,2,81,7,3,5,1,8,NA,2,-1,6,-1,14,8595,1,3,50,8,NA,3,14,6,TRUE,0,1,0,8595,NA,9.05893591781695,0
"207",2018,920,1,2,66,2,3,1,1,0,NA,3,11,12,40,29,17025,2,2,39,12,NA,NA,40,12,TRUE,1,1,0,8512.5,NA,9.04929095045777,NA
"208",1986,676,1,2,30,7,3,1,1,0,9173,4,12,12,55,-1,28029,6,3,32,16,NA,NA,55,12,TRUE,1,1,0,4671.5,9.12401966550966,8.44923549823301,NA
"209",2018,1496,1,2,65,10,2,1,1,0,908,1,10,11,24,28,20430,1,2,64,14,NA,NA,28,11,TRUE,1,1,0,20430,6.81124437860129,9.92475968781167,NA
"210",2008,1379,1,2,48,2,3,1,1,0,1874.25,1,16,16,86,-1,1874.25,1,3,15,12,NA,NA,86,16,TRUE,1,1,0,1874.25,7.53596385838317,7.53596385838317,NA
"211",2006,3140,1,1,21,6,1,3,1,0,10659.375,3,12,14,27,24,10659.375,1,3,16,12,NA,NA,27,14,FALSE,0,1,0,10659.375,9.27419506560701,9.27419506560701,NA
"212",1977,1270,1,2,22,6,3,1,1,0,963,3,-1,12,29,-1,14446,4,1,29,12,NA,NA,29,12,TRUE,1,1,0,3611.5,6.87005341179813,8.1918784774909,NA
"213",2014,1528,1,1,28,2,1,5,1,0,8868.75,2,-1,12,-1,27,8868.75,1,3,9,9,NA,NA,27,12,FALSE,0,1,0,8868.75,9.09028914090835,9.09028914090835,NA
"214",2014,2274,1,1,56,1,6,1,1,0,21285,3,10,14,18,27,31927.5,4,3,29,13,NA,NA,27,14,FALSE,1,1,1,7981.875,9.96575787826225,8.98492862525053,NA
"215",1983,901,1,1,32,4,3,1,1,0,8520,3,12,12,55,-1,10223,4,2,32,11,NA,NA,55,12,FALSE,1,1,0,2555.75,9.05017161982336,7.84610100163712,NA
"216",1982,439,1,2,49,4,5,1,1,0,4220,3,10,8,75,-1,36167,2,3,29,13,NA,NA,75,10,TRUE,1,1,1,18083.5,8.34759040703006,9.80275519928199,NA
"217",1998,1235,1,2,44,2,3,1,1,0,11196,NA,8,8,32,38,56842,2,4,NA,14,NA,NA,38,8,TRUE,1,1,0,28421,9.32331185063534,10.2548835875204,NA
"218",2014,1711,1,1,59,3,4,1,1,0,15372.5,3,12,12,29,-1,15372.5,1,2,50,13,NA,NA,29,12,FALSE,1,1,1,15372.5,9.64033547782762,9.64033547782762,NA
"219",2016,2666,3,2,57,13,3,5,1,0,NA,3,-1,8,-1,35,4212,1,2,21,13,NA,NA,35,8,TRUE,0,0,0,4212,NA,8.34569287325387,NA
"220",2010,1775,1,1,37,2,3,1,1,2,14245,3,12,12,29,40,28490,2,3,50,12,NA,NA,40,12,FALSE,1,1,0,14245,9.56416124693201,9.56416124693201,NA
"221",1976,1102,1,1,49,1,6,1,NA,NA,45837,3,10,12,76,-1,45837,3,3,80,12,NA,NA,76,12,FALSE,1,1,1,15279,10.7328469042208,9.63423461555271,NA
"222",1972,1551,2,1,34,2,3,1,NA,NA,NA,5,16,12,92,-1,NA,2,4,56,16,NA,NA,92,16,FALSE,1,0,0,NA,NA,NA,NA
"223",1996,488,1,1,48,1,6,1,1,0,17038,NA,12,15,21,20,39875,4,3,25,14,1,NA,21,15,FALSE,1,1,1,9968.75,9.74320142260279,9.20721047896726,NA
"224",1988,1140,1,1,29,9,1,1,1,0,15682,2,8,12,21,-1,26538,3,3,45,12,NA,NA,21,12,FALSE,1,1,0,8846,9.66026883679087,9.08772065842827,NA
"225",1973,598,1,2,27,9,3,8,NA,NA,NA,4,12,12,24,-1,32761,NA,3,NA,12,NA,NA,24,12,TRUE,0,1,0,NA,NA,NA,NA
"226",1986,276,2,1,43,3,3,3,2,8,11466,3,5,2,46,-1,24207,5,NA,18,8,NA,NA,46,5,FALSE,0,0,0,4841.4,9.34714141346833,8.48495921408252,NA
"227",2004,636,2,2,43,8,3,1,1,0,49813.5,3,7,13,37,50,60380,2,NA,91,18,NA,NA,50,13,TRUE,1,0,0,30190,10.8160413106134,10.3152660227009,NA
"228",2014,1527,1,2,55,3,5,1,1,0,NA,3,16,14,65,87,NA,3,3,28,13,NA,NA,87,16,TRUE,1,1,1,NA,NA,NA,NA
"229",1998,94,1,2,42,2,5,1,1,8,NA,NA,12,12,39,-1,16363,1,1,18,16,NA,NA,39,12,TRUE,1,1,1,16363,NA,9.7027779674289,NA
"230",1986,1219,1,1,40,1,3,1,1,0,28029,3,12,8,38,-1,45866,4,3,61,16,NA,NA,38,12,FALSE,1,1,0,11466.5,10.2409949674611,9.34718501970403,NA
"231",1978,1112,1,1,64,1,6,6,1,0,67851,2,12,-1,85,-1,67851,2,4,89,19,NA,NA,85,12,FALSE,0,1,1,33925.5,11.1250694035479,10.431922222988,NA
"232",1987,208,1,2,39,5,6,1,1,0,11250,4,16,14,42,-1,55000,4,4,55,15,NA,NA,42,16,TRUE,1,1,1,13750,9.32812340763257,9.52879410309472,NA
"233",2000,171,1,1,30,2,3,1,1,0,24937,NA,12,12,19,29,24937,1,3,36,12,NA,NA,29,12,FALSE,1,1,0,24937,10.1241079233059,10.1241079233059,NA
"234",2018,2106,1,1,51,3,5,1,1,0,24970,4,16,12,83,27,24970,3,3,52,14,NA,NA,83,16,FALSE,1,1,1,8323.33333333333,10.1254303832738,9.02681809460571,NA
"235",2014,2276,1,1,62,2,6,1,1,0,39022.5,4,13,18,55,16,47300,2,4,76,16,NA,NA,55,18,FALSE,1,1,1,23650,10.5718936818326,10.0711183939201,NA
"236",2004,2732,1,1,60,3,6,1,1,0,134008.440726,3,12,12,39,-1,128434.605938,3,NA,90,16,NA,NA,39,12,FALSE,1,1,1,42811.5353126667,11.8056580674418,10.6645628619079,NA
"237",1998,1918,1,1,55,21,2,1,1,0,7751,NA,-1,12,18,13,22392,5,2,33,13,NA,NA,18,12,FALSE,1,1,0,4478.4,8.95557714628151,8.40702111876119,NA
"238",2002,1252,1,2,39,0,5,5,1,0,11731.875,1,-1,14,-1,55,14860.375,2,NA,63,12,NA,NA,55,14,TRUE,0,1,1,7430.1875,9.37006477542074,8.91330637292502,NA
"239",1994,526,2,2,52,0,6,1,1,0,51570,NA,6,6,16,14,99956,2,4,80,19,NA,3,16,6,TRUE,1,0,1,49978,10.850695387045,10.8193381875819,0
"240",1984,90,1,2,28,1,3,1,2,2,17884,4,2,2,50,-1,46773,3,2,30,13,NA,NA,50,2,TRUE,1,1,0,15591,9.79166173735387,9.65444910367655,NA
"241",1998,1363,1,1,28,1,6,3,1,0,25837,NA,12,16,66,27,37895,2,3,60,17,NA,NA,66,16,FALSE,0,1,1,18947.5,10.1595628520853,9.84942727568618,NA
"242",1973,881,2,1,22,5,4,1,NA,NA,NA,2,5,3,23,-1,NA,2,3,50,12,NA,NA,23,5,FALSE,1,0,1,NA,NA,NA,NA
"243",2002,995,1,2,44,2,1,1,1,0,NA,NA,10,12,37,22,11731.875,1,3,29,12,NA,NA,37,12,TRUE,1,1,0,11731.875,NA,9.37006477542074,NA
"244",2012,1195,2,1,28,2,4,1,1,0,NA,NA,20,16,85,-1,NA,2,3,85,16,NA,NA,85,20,FALSE,1,0,1,NA,NA,NA,NA
"245",1994,2949,1,1,21,6,1,2,1,0,12415,NA,8,11,29,-1,14325,3,3,12,12,NA,3,29,11,FALSE,0,1,0,4775,9.42666069794227,8.47114925291483,0
"246",1983,995,2,2,27,3,6,1,1,0,NA,2,11,14,16,-1,2272,2,2,NA,8,NA,NA,16,14,TRUE,1,0,1,1136,NA,7.0352685992811,NA
"247",2002,697,1,1,46,2,3,3,1,0,17206.75,4,12,13,63,54,17206.75,1,3,64,13,NA,NA,63,13,FALSE,0,1,0,17206.75,9.75305702767684,9.75305702767684,NA
"248",1972,1360,2,1,47,6,6,1,NA,NA,NA,2,10,4,15,-1,30458,8,2,15,12,NA,NA,15,10,FALSE,1,0,1,3807.25,NA,8.2446624227318,NA
"249",1998,1191,1,2,41,3,5,1,1,0,22392,NA,17,12,90,48,22392,5,3,74,12,NA,NA,90,17,TRUE,1,1,1,4478.4,10.0164590311953,8.40702111876119,NA
"250",2014,1126,1,1,47,3,5,3,1,0,47300,4,-1,18,91,73,56760,4,4,39,14,NA,NA,91,18,FALSE,0,1,1,14190,10.76426557448,9.56029277015409,NA
"251",2002,2451,1,1,48,2,3,1,1,0,34413.5,3,12,12,92,18,42234.75,5,NA,59,12,NA,NA,92,12,FALSE,1,1,0,8446.95,10.4462042082368,9.0415607084487,NA
"252",2004,1883,3,1,25,0,4,5,1,0,6792.75,3,-1,14,-1,55,6792.75,2,NA,24,16,NA,NA,55,14,FALSE,0,0,1,3396.375,8.82361114592317,8.13046396536322,NA
"253",2010,798,1,1,61,1,6,1,1,0,NA,3,18,18,-1,68,9712.5,2,1,55,16,NA,NA,68,18,FALSE,1,1,1,4856.25,NA,8.48802181411596,NA
"254",2012,406,3,2,42,5,2,1,2,8,NA,3,10,5,58,-1,26950,5,3,NA,12,NA,NA,58,10,TRUE,1,0,0,5390,NA,8.59230066390304,NA
"255",1975,1212,1,2,26,2,4,1,NA,NA,14452,4,12,8,39,-1,27793,3,3,12,13,NA,NA,39,12,TRUE,1,1,1,9264.33333333333,9.57858809226753,9.13392718074289,NA
"256",1998,85,1,1,39,3,1,1,1,0,56842,NA,12,12,27,-1,115841,4,3,62,12,NA,NA,27,12,FALSE,1,1,0,28960.25,10.9480307680804,10.2736794790591,NA
"257",2006,2397,1,1,64,4,3,1,1,0,NA,3,8,8,85,-1,21318.75,1,3,94,19,NA,NA,85,8,FALSE,1,1,0,21318.75,NA,9.96734224616696,NA
"258",1986,700,1,1,32,2,4,1,1,0,19111,3,12,12,85,-1,33125,2,3,78,16,NA,NA,85,12,FALSE,1,1,1,16562.5,9.85801936448898,9.71489638272858,NA
"259",1987,2144,2,1,29,10,2,1,1,0,13750,2,8,9,18,-1,13750,4,2,15,11,NA,NA,18,9,FALSE,1,0,0,3437.5,9.52879410309472,8.14249974197483,NA
"260",1974,27,1,1,53,1,3,1,NA,NA,30841,4,2,12,36,-1,55515,4,4,18,15,NA,NA,36,12,FALSE,1,1,0,13878.75,10.3366002525731,9.53811417236848,NA
"261",1975,1001,1,2,30,3,3,1,NA,NA,NA,5,13,14,46,-1,50027,7,3,16,14,NA,NA,46,14,TRUE,1,1,0,7146.71428571429,NA,8.87440798960744,NA
"262",2006,3305,1,2,49,6,3,1,1,0,NA,3,8,12,53,19,2558.25,2,2,13,9,NA,NA,53,12,TRUE,1,1,0,1279.125,NA,7.15393152940692,NA
"263",1986,1313,1,1,50,6,3,1,1,0,24207,2,8,12,37,-1,45866,4,3,63,12,NA,NA,37,12,FALSE,1,1,0,11466.5,10.0943971265166,9.34718501970403,NA
"264",2014,2534,1,1,54,2,5,1,1,0,15372.5,3,8,12,42,-1,15372.5,1,3,47,12,NA,NA,42,12,FALSE,1,1,1,15372.5,9.64033547782762,9.64033547782762,NA
"265",1973,1353,1,1,19,2,1,1,NA,NA,NA,3,11,11,55,-1,45866,4,3,27,12,NA,NA,55,11,FALSE,1,1,0,11466.5,NA,9.34718501970403,NA
"266",2006,1075,3,2,66,0,1,3,2,4,NA,NA,-1,0,18,-1,NA,4,1,NA,7,NA,NA,18,0,TRUE,0,0,0,NA,NA,NA,NA
"267",1993,1405,1,2,42,6,2,1,1,0,43230,2,10,10,19,-1,103880,3,2,65,14,NA,5,19,10,TRUE,1,1,0,34626.6666666667,10.6742899776617,10.4523793771086,0
"268",1972,212,1,2,45,1,1,1,NA,NA,NA,3,6,-1,28,-1,24366,2,2,16,10,NA,NA,28,6,TRUE,1,1,0,12183,NA,9.40779681635441,NA
"269",1980,1161,1,2,84,2,4,1,1,0,NA,4,16,14,95,-1,8308,1,4,85,16,NA,NA,95,16,TRUE,1,1,1,8308,NA,9.024974184996,NA
"270",2018,1923,3,2,64,5,3,1,1,0,24970,2,8,8,78,12,37455,3,2,89,16,NA,NA,78,8,TRUE,1,0,0,12485,10.1254303832738,9.43228320271387,NA
"271",2008,942,1,1,77,5,2,1,1,0,8701.875,2,16,8,51,24,17403.75,2,3,51,12,NA,NA,51,16,FALSE,1,1,0,8701.875,9.07129379866355,9.07129379866355,NA
"272",1977,113,1,2,34,4,2,1,1,0,963,2,8,7,18,-1,31299,5,3,49,12,NA,NA,18,8,TRUE,1,1,0,6259.8,6.87005341179813,8.74190351470198,NA
"273",2008,111,1,1,25,3,4,5,1,0,2945.25,4,-1,16,-1,60,146153.66858505,3,4,55,18,NA,NA,60,16,FALSE,0,1,1,48717.88952835,7.98794898212623,10.7938015830619,NA
"274",2006,1571,1,1,64,3,5,1,1,0,7816.875,3,8,12,40,16,38373.75,1,3,94,12,NA,NA,40,12,FALSE,1,1,1,38373.75,8.96404013730317,10.5551289110691,NA
"275",1978,761,1,1,58,1,3,1,1,8,67851,2,8,6,50,-1,143778,2,4,59,13,NA,NA,50,8,FALSE,1,1,0,71889,11.1250694035479,11.1828785417407,NA
"276",1987,727,1,2,61,5,4,3,1,0,NA,4,8,8,80,-1,NA,5,2,29,10,NA,NA,80,8,TRUE,0,1,1,NA,NA,NA,NA
"277",2010,1062,1,1,50,6,3,1,1,0,34965,3,16,16,94,-1,51800,2,3,67,17,NA,NA,94,16,FALSE,1,1,0,25900,10.462102840138,10.1619982476876,NA
"278",1994,1412,1,1,20,5,4,1,1,0,5730,NA,12,12,36,28,34380,6,3,31,12,NA,NA,36,12,FALSE,1,1,1,5730,8.65347080970879,8.65347080970879,NA
"279",1994,2953,1,2,43,4,3,1,1,0,14325,3,12,12,39,18,16235,2,2,69,16,NA,1,39,12,TRUE,1,1,0,8117.5,9.56976154158294,9.001777503977,1
"280",1996,2070,1,2,33,10,3,4,1,0,19938,NA,12,-1,69,-1,102565,3,3,81,15,3,NA,69,12,TRUE,0,1,0,34188.3333333333,9.90038273758265,10.4396397342481,NA
"281",2006,1264,1,2,30,2,3,1,1,0,31267.5,2,12,12,37,22,31267.5,1,4,91,18,NA,NA,37,12,TRUE,1,1,0,31267.5,10.3503344984231,10.3503344984231,NA
"282",2014,1699,1,2,69,11,2,1,1,0,21285,3,4,8,58,-1,47300,1,4,65,14,NA,NA,58,8,TRUE,1,1,0,47300,9.96575787826225,10.76426557448,NA
"283",2008,990,2,1,77,1,6,1,1,0,NA,NA,-1,16,25,85,36146.25,2,NA,62,16,NA,NA,85,16,FALSE,1,0,1,18073.125,NA,9.80218130720634,NA
"284",1974,1181,1,1,52,2,2,0,NA,NA,22206,3,12,10,36,-1,55515,2,4,51,11,NA,NA,36,12,FALSE,0,1,0,27757.5,10.0081178016142,10.2312613529284,NA
"285",2018,256,3,2,80,8,3,1,2,8,NA,2,0,1,18,-1,NA,9,2,NA,1,NA,NA,18,1,TRUE,1,0,0,NA,NA,NA,NA
"286",2016,619,1,2,26,2,3,1,1,8,6435,2,8,12,21,74,25740,3,3,56,14,NA,NA,74,12,TRUE,1,1,0,8580,8.76950712003023,9.05718919248201,NA
"287",1980,1291,1,1,25,3,3,1,1,0,24547,3,12,12,20,-1,35121,2,3,32,12,NA,NA,20,12,FALSE,1,1,0,17560.5,10.108344926163,9.77340734058784,NA
"288",1984,436,1,2,62,3,4,3,1,0,NA,2,-1,0,16,-1,3852,1,2,7,0,NA,NA,16,0,TRUE,0,1,1,3852,NA,8.25634777291802,NA
"289",1998,2279,1,1,67,3,1,1,1,8,NA,NA,8,6,31,14,25837,1,2,91,10,NA,NA,31,8,FALSE,1,1,0,25837,NA,10.1595628520853,NA
"290",1985,711,1,2,25,2,3,2,1,0,NA,3,12,12,50,-1,14515,4,3,61,15,NA,NA,50,12,TRUE,0,1,0,3628.75,NA,8.19664351533884,NA
"291",2000,2308,1,2,31,4,1,3,1,0,10806,NA,10,13,62,55,21612,5,3,27,13,NA,4,62,13,TRUE,0,1,0,4322.4,9.28785681440401,8.37156608252986,0
"292",2014,2069,1,2,61,3,2,1,1,0,10051.25,3,12,12,37,21,10051.25,1,2,29,12,NA,NA,37,12,TRUE,1,1,0,10051.25,9.21545228386236,9.21545228386236,NA
"293",1978,821,1,2,30,5,5,1,1,0,NA,3,12,12,50,-1,20355,5,3,84,12,NA,NA,50,12,TRUE,1,1,1,4071,NA,8.31164394850298,NA
"294",2012,1144,1,2,43,1,1,1,1,0,22050,3,12,14,23,55,49000,4,3,86,16,NA,NA,55,14,TRUE,1,1,0,12250,10.001067880875,9.41328121597287,NA
"295",1985,77,1,2,36,2,5,1,1,0,24543,3,12,9,46,-1,24543,1,4,85,16,NA,NA,46,12,TRUE,1,1,1,24543,10.1081819601818,10.1081819601818,NA
"296",1991,556,1,1,32,2,5,1,1,0,NA,4,16,14,51,-1,9401,1,3,8,16,NA,NA,51,16,FALSE,1,1,1,9401,NA,9.14857134557855,NA
"297",1991,617,1,1,61,3,2,1,1,0,19846,2,6,8,58,-1,19846,2,3,16,8,NA,NA,58,8,FALSE,1,1,0,9923,9.89575775447419,9.20261057391424,NA
"298",2014,95,3,2,40,3,3,1,2,8,NA,4,12,16,11,-1,10051.25,3,1,44,15,NA,NA,11,16,TRUE,1,0,0,3350.41666666667,NA,8.11683999519425,NA
"299",1996,1582,1,2,22,4,1,5,1,0,19938,NA,-1,14,-1,50,48938,4,3,28,14,NA,NA,50,14,TRUE,0,1,0,12234.5,9.90038273758265,9.41201510867474,NA
"300",1996,1140,1,1,43,1,4,1,1,0,39875,NA,-1,12,29,55,39875,6,4,29,13,NA,NA,55,12,FALSE,1,1,1,6645.83333333333,10.5935048400871,8.80174537085909,NA
"301",2010,1757,1,1,52,3,1,1,1,0,NA,2,13,10,39,91,5827.5,1,2,27,12,NA,NA,91,13,FALSE,1,1,0,5827.5,NA,8.67034337090991,NA
"302",1987,977,1,2,42,2,3,1,1,0,11250,5,8,12,61,-1,37500,4,3,29,12,NA,NA,61,12,TRUE,1,1,0,9375,9.32812340763257,9.14580185083861,NA
"303",1973,1226,1,2,22,4,1,1,NA,NA,NA,2,12,8,20,-1,19657,4,3,16,12,NA,NA,20,12,TRUE,1,1,0,4914.25,NA,8.49989442683791,NA
"304",1996,504,2,2,27,0,5,5,1,0,8156,NA,-1,13,-1,46,8156,3,2,20,12,2,NA,46,13,TRUE,0,0,1,2718.66666666667,9.00650913169435,7.90789684302624,NA
"305",2010,152,3,1,34,0,5,1,2,8,NA,2,12,16,64,-1,NA,2,3,91,16,NA,NA,64,16,FALSE,1,0,1,NA,NA,NA,NA
"306",2018,988,1,2,37,2,5,1,1,1,45400,4,11,16,61,61,119879.41732,2,4,78,16,NA,NA,61,16,TRUE,1,1,1,59939.70866,10.7232673840294,11.0010944803316,NA
"307",1994,213,1,1,39,3,5,1,1,0,24830,NA,12,12,49,50,42020,1,4,49,12,NA,NA,50,12,FALSE,1,1,1,42020,10.1198078785022,10.645900974399,NA
"308",2012,303,1,2,62,3,5,1,1,0,NA,3,12,12,29,48,NA,2,3,55,12,NA,NA,48,12,TRUE,1,1,1,NA,NA,NA,NA
"309",1994,2555,1,2,67,5,3,1,1,0,NA,3,6,8,16,-1,8595,2,NA,14,12,NA,NA,16,8,TRUE,1,1,0,4297.5,NA,8.365788737257,NA
"310",1975,1186,2,2,62,6,1,3,NA,NA,4447,2,2,3,53,-1,10005,3,2,88,8,NA,NA,53,3,TRUE,0,0,0,3335,8.3999849905107,8.11222795834972,NA
"311",1977,412,1,2,25,5,NA,1,1,0,12520,2,14,12,54,-1,12520,2,3,52,12,NA,NA,54,14,TRUE,1,1,NA,6260,9.43508264465409,8.74193546409414,NA
"312",1993,1131,1,1,51,1,3,1,1,0,29475,3,14,10,35,-1,43230,3,3,54,12,NA,3,35,14,FALSE,1,1,0,14410,10.2912977254056,9.57567768899357,0
"313",1990,1369,1,2,62,2,3,1,1,0,444,3,6,12,35,-1,4879,2,1,28,12,NA,NA,35,12,TRUE,1,1,0,2439.5,6.09582456243222,7.79954837925589,NA
"314",1983,560,1,1,27,0,1,1,1,0,568,3,12,12,37,-1,NA,5,4,29,12,NA,NA,37,12,FALSE,1,1,0,NA,6.34212141872115,NA,NA
"315",2018,2275,1,2,40,2,1,1,1,0,20430,4,12,12,62,12,72640,2,4,46,15,NA,NA,62,12,TRUE,1,1,0,36320,9.92475968781167,10.5001238327152,NA
"316",2010,1085,1,2,55,6,1,1,1,0,9712.5,1,8,11,18,50,9712.5,1,1,11,8,NA,NA,50,11,TRUE,1,1,0,9712.5,9.1811689946759,9.1811689946759,NA
"317",1991,952,1,2,52,3,1,1,1,0,13579,3,6,12,12,-1,NA,2,2,48,12,NA,NA,12,12,TRUE,1,1,0,NA,9.5162797606988,NA,NA
"318",1972,1410,1,2,55,5,2,1,NA,NA,NA,3,5,8,58,-1,30458,4,3,22,8,NA,NA,58,8,TRUE,1,1,0,7614.5,NA,8.93780960329175,NA
"319",1982,529,1,2,63,6,1,1,1,0,603,1,8,8,55,-1,25619,2,3,14,10,NA,NA,55,8,TRUE,1,1,0,12809.5,6.40191719672719,9.45794236212277,NA
"320",1972,858,2,1,34,4,6,1,NA,NA,NA,3,12,12,78,-1,NA,6,3,50,12,NA,NA,78,12,FALSE,1,0,1,NA,NA,NA,NA
"321",1994,1056,1,1,65,5,6,1,1,8,NA,NA,12,12,17,15,NA,3,3,97,20,NA,NA,17,12,FALSE,1,1,1,NA,NA,NA,NA
"322",2004,175,1,2,26,5,4,1,1,0,6792.75,3,12,12,33,55,22642.5,4,1,68,19,NA,NA,55,12,TRUE,1,1,1,5660.625,8.82361114592317,8.64128958912921,NA
"323",1986,1015,1,1,59,7,3,1,1,1,28029,3,8,8,42,-1,28029,2,3,40,12,NA,NA,42,8,FALSE,1,1,0,14014.5,10.2409949674611,9.54784778690112,NA
"324",2012,758,2,1,20,2,5,3,1,2,NA,2,16,14,65,29,22050,2,1,NA,14,NA,NA,65,16,FALSE,0,0,1,11025,NA,9.30792070031505,NA
"325",2016,1859,1,2,71,4,3,3,1,0,17550,2,9,12,33,63,21060,1,3,90,20,NA,NA,63,12,TRUE,0,1,0,21060,9.77280922889401,9.95513078568797,NA
"326",1994,1361,1,2,64,1,6,1,1,0,8595,NA,12,12,39,48,99956,2,4,18,18,NA,2,48,12,TRUE,1,1,1,49978,9.05893591781695,10.8193381875819,1
"327",1994,2720,1,2,43,2,3,1,1,0,NA,3,11,9,54,22,34380,4,3,10,11,NA,5,54,11,TRUE,1,1,0,8595,NA,9.05893591781695,0
"328",2006,2640,1,2,74,4,2,1,1,0,NA,2,10,12,58,26,25582.5,2,3,29,12,NA,NA,58,12,TRUE,1,1,0,12791.25,NA,9.45651662240097,NA
"329",1996,2080,1,2,46,4,6,5,1,0,8156,NA,-1,12,-1,49,8156,1,1,48,8,NA,NA,49,12,TRUE,0,1,1,8156,9.00650913169435,9.00650913169435,NA
"330",1987,1196,1,2,24,3,3,1,1,0,4500,4,13,12,39,-1,23750,5,3,16,12,NA,NA,39,13,TRUE,1,1,0,4750,8.41183267575841,8.46589989702869,NA
"331",1989,539,1,2,18,1,4,1,1,2,464,3,13,14,54,-1,51023,4,3,74,11,NA,NA,54,14,TRUE,1,1,1,12755.75,6.13988455222626,9.45373742931764,NA
"332",2010,1951,1,1,65,2,2,1,1,0,NA,3,5,-1,45,22,14245,2,3,50,12,NA,NA,45,5,FALSE,1,1,0,7122.5,NA,8.87101406637206,NA
"333",1994,963,1,2,47,1,4,1,1,0,17954,NA,12,-1,94,-1,99956,2,3,62,14,NA,NA,94,12,TRUE,1,1,1,49978,9.79556821031663,10.8193381875819,NA
"334",1984,1047,1,2,43,2,3,1,1,0,2201,2,12,12,58,-1,33016,6,4,32,12,NA,NA,58,12,TRUE,1,1,0,5502.66666666667,7.69666708152646,8.61298810220436,NA
"335",1978,1213,1,1,78,2,3,1,1,0,NA,3,-1,12,46,-1,13570,1,3,95,19,NA,NA,46,12,FALSE,1,1,0,13570,NA,9.51561675282892,NA
