"","YEAR","ID","RACE","SEX","AGE","SIBS","RES16","FAMILY16","BORN","PARBORN","REALRINC","INCOM16","PAEDUC","MAEDUC","PAPRES105PLUS","MAPRES105PLUS","REALINC","HOMPOP","FINRELA","PRESTG105PLUS","EDUC","RES161","COMTYPE","HPARPRES","HPAREDU","FEMALE","BOTHPAR","WHITE","RES16MID","FIPP","lnREALRINC","lnFIPP","RESNOWBIG"
"81",2014,849,1,2,56,5,1,3,1,0,26015,3,-1,12,52,29,26015,3,3,48,15,NA,NA,52,12,TRUE,0,1,0,8671.66666666667,10.1664285737244,9.06781628505629,NA
"82",1988,647,1,1,28,2,1,3,1,0,31364,3,12,12,25,-1,36189,2,4,97,17,NA,NA,25,12,FALSE,0,1,0,18094.5,10.3534160173508,9.80336330367355,NA
"83",2008,944,1,2,38,5,3,1,1,0,10040.625,1,12,12,27,24,10040.625,2,1,14,12,NA,NA,27,12,TRUE,1,1,0,5020.3125,9.21439464230422,8.52124746174428,NA
"84",1987,764,1,2,86,8,2,1,1,0,NA,3,10,-1,58,-1,7500,1,3,NA,9,NA,NA,58,10,TRUE,1,1,0,7500,NA,8.9226582995244,NA
"85",1989,446,1,2,79,6,2,1,1,8,NA,2,8,6,58,-1,10436,1,4,55,13,NA,NA,58,8,TRUE,1,1,0,10436,NA,9.25301664625662,NA
"86",2016,1915,2,1,48,2,4,5,1,0,NA,2,-1,14,-1,35,21060,2,2,29,17,NA,NA,35,14,FALSE,0,0,1,10530,NA,9.26198360512802,NA
"87",1974,894,2,2,48,7,6,1,NA,NA,22206,2,12,12,24,-1,43178,2,3,23,12,NA,NA,24,12,TRUE,1,0,1,21589,10.0081178016142,9.97993920469646,NA
"88",1976,375,1,1,25,2,3,1,NA,NA,18335,3,12,12,48,-1,25465,3,2,28,12,NA,NA,48,12,FALSE,1,1,0,8488.33333333333,9.81656708050543,9.0464479506506,NA
"89",1980,1231,1,2,28,3,5,1,2,8,16994,4,12,9,95,-1,28323,3,2,21,14,NA,NA,95,12,TRUE,1,1,1,9441,9.74061561956349,9.15281718573252,NA
"90",2000,879,1,2,79,1,4,1,1,0,NA,NA,12,12,44,-1,10806,1,3,47,12,NA,NA,44,12,TRUE,1,1,1,10806,NA,9.28785681440401,NA
"91",1977,488,1,2,85,4,2,1,1,0,NA,2,8,4,58,-1,6741,1,3,NA,8,NA,NA,58,8,TRUE,1,1,0,6741,NA,8.81596356085344,NA
"92",1998,146,1,1,34,1,6,2,1,0,NA,NA,11,12,42,-1,NA,4,4,58,11,NA,NA,42,12,FALSE,0,1,1,NA,NA,NA,NA
"93",1989,1058,1,1,41,1,5,1,1,0,41746,5,16,14,80,-1,88133,1,5,94,20,NA,NA,80,16,FALSE,1,1,1,88133,10.6393589173059,11.3866023161361,NA
"94",1991,1440,1,2,68,1,3,1,1,0,3760,2,8,14,16,-1,56405,2,NA,85,17,NA,NA,16,14,TRUE,1,1,0,28202.5,8.23217423638394,10.2471659054791,NA
"95",2016,2146,1,2,55,3,4,1,1,0,2574,2,14,11,28,14,17550,1,2,74,12,NA,NA,28,14,TRUE,1,1,1,17550,7.85321638815607,9.77280922889401,NA
"96",1998,2115,2,2,49,3,4,1,1,0,4478,NA,15,16,92,-1,4478,3,1,69,15,NA,NA,92,16,TRUE,1,0,1,1492.66666666667,8.4069317971587,7.30831950849059,NA
"97",2002,1701,1,2,64,16,6,1,2,8,NA,NA,1,3,58,-1,1251.4,1,NA,14,1,NA,NA,58,3,TRUE,1,1,1,1251.4,NA,7.13201820356426,NA
"98",2008,426,1,1,23,2,4,5,1,0,7363.125,3,-1,12,-1,55,12718.125,2,3,32,11,NA,NA,55,12,FALSE,0,1,1,6359.0625,8.90423971400038,8.75763623980851,NA
"99",1984,401,1,2,29,9,3,2,1,0,NA,3,8,14,50,-1,6053,8,1,NA,13,NA,NA,50,14,TRUE,0,1,0,756.625,NA,6.62886775421185,NA
"100",2004,2513,1,2,75,6,3,1,1,0,NA,2,7,8,58,-1,8302.25,2,2,49,11,NA,NA,58,8,TRUE,1,1,0,4151.125,NA,8.33113466082537,NA
"101",1986,272,1,2,70,4,5,1,1,1,NA,5,-1,9,33,-1,4587,1,1,44,12,NA,NA,33,9,TRUE,1,1,1,4587,NA,8.43098149459717,NA
"102",2018,1057,1,1,21,0,2,5,1,3,6242.5,3,-1,12,-1,29,14755,2,3,39,9,NA,NA,29,12,FALSE,0,1,0,7377.5,8.73913602215393,8.90619010681709,NA
"103",1978,456,1,2,30,1,6,1,1,2,3619,2,14,14,21,-1,20355,2,2,49,16,NA,NA,21,14,TRUE,1,1,1,10177.5,8.19395302356374,9.22793468037713,NA
"104",2006,628,2,1,49,4,6,1,1,0,25582.5,1,11,11,36,-1,NA,3,2,68,15,NA,NA,36,11,FALSE,1,0,1,NA,10.1496638029609,NA,NA
"105",1994,1586,1,1,79,3,3,1,1,0,NA,NA,12,12,42,-1,34380,2,3,94,19,NA,NA,42,12,FALSE,1,1,0,17190,NA,9.75208309837689,NA
"106",1996,940,1,1,21,1,1,1,1,0,NA,NA,13,14,83,-1,102565,4,3,NA,14,1,NA,83,14,FALSE,1,1,0,25641.25,NA,10.1519576617963,NA
"107",1993,569,1,1,89,3,2,1,1,0,NA,4,8,8,58,-1,10808,2,3,62,12,NA,3,58,8,FALSE,1,1,0,5404,NA,8.59489469908009,0
"108",2002,92,1,2,32,3,3,1,1,0,NA,NA,-1,12,55,55,42234.75,2,NA,47,12,NA,NA,55,12,TRUE,1,1,0,21117.375,NA,9.95785144032286,NA
"109",2002,1353,1,1,26,2,3,5,1,0,10167.625,3,-1,12,-1,61,17206.75,4,NA,59,12,NA,NA,61,12,FALSE,0,1,0,4301.6875,9.22696393178006,8.36676266655695,NA
"110",2008,819,3,2,31,3,4,0,1,8,10040.625,2,11,11,38,-1,10040.625,3,2,68,11,NA,NA,38,11,TRUE,0,0,1,3346.875,9.21439464230422,8.11578235363611,NA
"111",1975,728,1,1,38,7,2,1,NA,NA,27793,2,7,7,49,-1,50027,5,3,54,13,NA,NA,49,7,FALSE,1,1,0,10005.4,10.232539469411,9.21088022622865,NA
"112",2018,1855,1,1,61,1,3,1,1,0,NA,3,12,18,59,91,24970,1,3,64,18,NA,NA,91,18,FALSE,1,1,0,24970,NA,10.1254303832738,NA
"113",2018,1418,1,2,32,4,5,5,1,0,NA,3,-1,7,-1,17,1589,2,3,14,10,NA,NA,17,7,TRUE,0,1,1,794.5,NA,6.67771298597677,NA
"114",1986,103,2,1,33,4,6,1,1,0,33125,2,8,10,29,-1,56058,3,3,63,14,NA,NA,29,10,FALSE,1,0,1,18686,10.4080435632885,9.8355298593529,NA
"115",2006,1843,1,1,52,3,5,1,1,0,NA,3,14,12,51,85,12080.625,1,2,55,13,NA,NA,85,14,FALSE,1,1,1,12080.625,NA,9.39935820856102,NA
"116",1996,745,1,1,47,3,5,1,1,0,87419,NA,16,12,90,-1,102565,3,5,85,16,3,NA,90,16,FALSE,1,1,1,34188.3333333333,11.3784679293219,10.4396397342481,NA
"117",1980,1157,1,1,64,2,4,1,1,0,28323,4,8,12,61,-1,32100,2,4,69,12,NA,NA,61,12,FALSE,1,1,1,16050,10.2514294744006,9.68346412855816,NA
"118",2014,528,3,1,21,1,3,1,1,1,21285,3,3,12,49,63,66220,4,3,49,12,NA,NA,63,12,FALSE,1,0,0,16555,9.96575787826225,9.71444344998135,NA
"119",1974,404,1,1,29,2,2,1,NA,NA,4935,4,14,14,58,-1,16038,2,1,49,16,NA,NA,58,14,FALSE,1,1,0,8019,8.50410795186758,8.98956900480703,NA
"120",1982,1270,1,1,38,3,1,1,1,0,36167,3,12,14,31,-1,36167,2,3,37,13,NA,NA,31,14,FALSE,1,1,0,18083.5,10.4959023798419,9.80275519928199,NA
"121",1972,17,1,1,24,0,3,8,NA,NA,NA,3,8,8,63,-1,24366,4,3,50,14,NA,NA,63,8,FALSE,0,1,0,6091.5,NA,8.71464963579446,NA
"122",1973,1480,1,1,57,7,5,1,NA,NA,NA,2,12,12,49,-1,19657,1,3,39,16,NA,NA,49,12,FALSE,1,1,1,19657,NA,9.8861887879578,NA
"123",1980,1099,1,1,37,2,4,1,1,0,56647,1,7,14,63,-1,56647,1,4,84,17,NA,NA,63,14,FALSE,1,1,1,56647,10.9445943083019,10.9445943083019,NA
"124",1975,159,1,2,32,6,3,3,NA,NA,4447,3,8,12,20,-1,86496,5,4,NA,12,NA,NA,20,12,TRUE,0,1,0,17299.2,8.3999849905107,9.75841553664207,NA
"125",2006,240,3,2,25,14,4,1,2,8,NA,3,-1,0,18,18,284.25,6,3,16,4,NA,NA,18,0,TRUE,1,0,1,47.375,NA,3.85809466340259,NA
"126",1975,168,1,2,19,2,6,1,NA,NA,1112,3,-1,8,26,-1,20011,3,3,NA,12,NA,NA,26,8,TRUE,1,1,1,6670.33333333333,7.01391547481053,8.80542511267345,NA
"127",2018,769,1,1,36,1,3,5,1,0,12485,2,-1,16,-1,29,24970,4,2,43,12,NA,NA,29,16,FALSE,0,1,0,6242.5,9.43228320271387,8.73913602215393,NA
"128",1984,8,1,1,19,1,6,1,1,0,2201,3,16,16,87,-1,NA,5,NA,23,12,NA,NA,87,16,FALSE,1,1,1,NA,7.69666708152646,NA,NA
"129",2010,889,1,1,38,6,5,2,2,8,3367,3,12,-1,62,-1,11007.5,6,3,35,6,NA,NA,62,12,FALSE,0,1,1,1834.58333333333,8.12177741916107,7.51457266840185,NA
"130",1973,4,1,1,32,0,2,1,NA,NA,NA,3,8,12,58,-1,32761,5,3,12,12,NA,NA,58,12,FALSE,1,1,0,6552.2,NA,8.78755615009755,NA
"131",2014,875,1,1,58,3,3,1,1,0,13007.5,2,10,12,50,26,21285,2,2,26,12,NA,NA,50,12,FALSE,1,1,0,10642.5,9.47328139316446,9.27261069770231,NA
"132",2012,1689,1,2,43,2,1,1,1,0,11637.5,3,12,8,11,14,NA,4,3,46,17,NA,NA,14,12,TRUE,1,1,0,NA,9.36198792158532,NA,NA
"133",1983,175,1,1,25,1,5,1,1,0,18459,4,13,12,55,-1,18459,1,3,55,16,NA,NA,55,13,FALSE,1,1,1,18459,9.8233073354086,9.8233073354086,NA
"134",2014,1446,1,1,67,2,6,1,1,2,NA,3,-1,12,16,50,11233.75,1,2,20,11,NA,NA,50,12,FALSE,1,1,1,11233.75,NA,9.32667791897258,NA
